station,azimuth,takeoff_angle,source_receiver_distance,quality,polarity,event_id
BLC ,275.0,164.0,5.1,0,1,3158361
IR2 ,51.0,121.0,25.9,0,-1,3159027
SBB ,56.0,94.0,88.3,1,-1,3159027
CIS ,168.0,92.0,94.8,0,-1,3159027
SWM ,3.0,103.0,53.0,0,1,3159027
PYR ,343.0,110.0,38.1,0,1,3159027
SIP ,255.0,137.0,15.5,0,1,3159027
SAD ,194.0,132.0,18.3,0,-1,3159027
PTD ,214.0,116.0,31.5,1,-1,3159027
GRH ,35.0,152.0,9.2,0,1,3159027
SLG ,250.0,107.0,43.6,1,-1,3159027
LRR ,60.0,100.0,62.8,0,-1,3159027
BMT ,1.0,92.0,99.6,1,-1,3159027
LJB ,61.0,95.0,80.7,0,-1,3159027
JNH ,69.0,99.0,65.0,1,-1,3159027
XTL ,85.0,98.0,69.7,1,-1,3159027
OAK ,312.0,128.0,20.5,0,1,3159027
FTC ,340.0,96.0,74.8,0,-1,3159027
SND ,16.0,89.0,104.4,1,-1,3159027
HYS ,54.0,89.0,118.8,1,-1,3159027
DBM ,16.0,94.0,85.4,0,-1,3159027
WSP ,5.0,109.0,39.7,0,-1,3159027
LOK ,321.0,98.0,69.3,0,-1,3159027
LEO ,34.0,103.0,52.0,0,-1,3159027
LLN ,69.0,96.0,75.9,0,-1,3159027
TWL ,26.0,165.0,4.7,0,1,3159027
STT ,13.0,100.0,62.6,0,-1,3159027
THC ,357.0,96.0,74.4,1,-1,3159027
FIL ,315.0,118.0,28.5,1,1,3159027
QAL ,351.0,101.0,57.3,0,-1,3159027
CAL ,33.0,89.0,113.9,1,-1,3159027
LHU ,22.0,104.0,51.4,0,-1,3159027
CFL ,79.0,102.0,55.5,0,-1,3159027
FOX ,32.0,99.0,66.3,1,-1,3159027
SYL ,51.0,129.0,19.8,1,-1,3159027
NHL ,6.0,134.0,16.9,1,-1,3159027
MNT ,34.0,118.0,28.9,0,-1,3159027
VVD ,349.0,125.0,23.0,0,-1,3159027
BAL ,283.0,114.0,33.0,0,1,3159027
BLC ,274.0,163.0,5.1,0,1,3159027
